video_id,title,category,category_name,duration_seconds,duration_minutes,views,likes,comments,published_at,like_view_ratio,comment_view_ratio,engagement_rate
d36yTEW-otA,Overconfidence 🙃 Free Fire 999+ IQ Players Funny Game #freefire #kar98army #shorts,20,Gaming,95,1.5833333333333333,57225499,1053748,222,2025-07-28T12:30:43Z,0.01841395913384696,3.87938950082375e-06,0.018417838523347784
I-fo9m-2zmU,FINALLY GOLDEN CRIMINAL NIKAAL LIYA GUYS💀😂 FREEFIRE FUNNY MOMENTS #freefire #shorts#funny#tlswarrior,20,Gaming,90,1.5,25055931,874914,2917,2025-07-04T13:30:14Z,0.034918439071371966,0.00011641954154487414,0.03503485861291684
EShiKTGquTQ,DrDonut couldn't believe it 😭🙏🏼🤣 #minecraft #gaming #donutsmp,20,Gaming,177,2.95,10951736,489201,1143,2025-07-12T03:39:48Z,0.04466880867106365,0.0001043670154211168,0.04477317568648477
VQRLujxTm3c,Grand Theft Auto VI Trailer 2,20,Gaming,167,2.783333333333333,141175234,6281378,515643,2025-05-06T13:29:04Z,0.04449348389250766,0.003652503242884655,0.04814598713539232
vR_P8Z0ua_g,Franklin Vs Giant Mr Meat In Indian Bike Driving 3D #shortsfeed,20,Gaming,69,1.15,37935227,0,138,2025-10-20T08:03:49Z,0.0,3.6377797343877764e-06,3.6377797343877764e-06
_zK2oB660yk,The Gaming Clip That Ruined His Life 😪 (Leeroy Jenkins),20,Gaming,96,1.6,4228288,322715,1073,2025-02-11T13:00:55Z,0.07632285218036236,0.00025376700924818746,0.07657661918961055
ZoovysqIzbE,Extinct Dragon Canelloni #brainrot #roblox  #stealabrainrot #brainrot #games #gaming #funny,20,Gaming,180,3.0,5759918,73875,252,2025-09-18T15:01:06Z,0.01282570342147232,4.375062283872791e-05,0.012869454044311047
xXWxtKrAVg4,Building My Dream 5090 Gaming PC ​⁠​⁠​@asusrog,20,Gaming,86,1.4333333333333333,8040973,260632,5335,2025-05-20T07:16:37Z,0.032412992805721394,0.0006634769200195051,0.0330764697257409
kuwFCKbgfbQ,Asmr retro gaming mega short 2 Inserting games and turning on random consoles between 1982-2025.,20,Gaming,180,3.0,3250367,95220,1785,2025-08-27T16:02:57Z,0.029295153439596204,0.0005491687554051588,0.029844322195001365
8FRKlDiFllw,Fanly v badge 📛 mil ही gaya Y GAMING ☠️ को short 🔥 #vbadge #ygaming,20,Gaming,61,1.0166666666666666,2416062,102778,257,2025-01-26T04:06:15Z,0.04253947125529063,0.00010637144245470521,0.04264584269774534
AFD2gJC4iqA,Best Background Music For Your Gaming Videos | Non-Copyrighted✅,20,Gaming,210,3.5,23073,683,150,2025-08-19T10:05:29Z,0.0296016989554891,0.00650110518788194,0.03610280414337104
24_Pu_ApRwY,If you have under 10 MB/s on Epic Games Launcher... DO THIS NOW,20,Gaming,87,1.45,424445,8915,881,2024-06-16T19:00:02Z,0.021003899209556007,0.0020756517334401393,0.023079550942996147
xIwNNBMVyU8,Must Play Indies - Epic Adventures | PS5 Games,20,Gaming,89,1.4833333333333334,56537,1812,98,2025-03-28T16:45:03Z,0.03204980809027717,0.001733378141747882,0.033783186232025045
REP1cuGbP-8,Borderlands 4 - Official Character Short - Rafa (YOLT),20,Gaming,295,4.916666666666667,904976,23849,2034,2025-07-30T16:00:21Z,0.026353185056841286,0.002247573416311593,0.02860075847315288
0q7fP7Tw7vo,the plants vs zombies replanted situation is crazy  #gaming #news,20,Gaming,134,2.2333333333333334,1766317,75034,960,2025-10-22T16:45:18Z,0.04248048340133736,0.000543503799148171,0.04302398720048553
BHYoreEPXzE,Weird Al’s Secret NES Game!! (ft. “Weird Al” Yankovic),20,Gaming,177,2.95,1453134,99661,1473,2025-07-08T15:45:00Z,0.06858348920333569,0.0010136711411335775,0.06959716034446926
Jz2QmBgk0-Y,20 Insane Video Game Cheat Codes,20,Gaming,482,8.033333333333333,963886,15089,316,2024-01-25T22:48:55Z,0.015654340866036023,0.0003278395992887126,0.01598218046532474
R1Ru3p6eMVs,Mad Granny Helicopter Escape 😂 mad granny game definition  madgran game horror escape gameplay video,20,Gaming,114,1.9,3167271,96525,105,2025-08-06T06:11:08Z,0.030475762888619255,3.315156802180805e-05,0.030508914456641063
-PCtDfh3qKI,Scooty Escape from madgran scary horror escape madgran game definition hindi mad granny grandpa game,20,Gaming,97,1.6166666666666667,2277446,16768,100,2025-07-30T06:01:14Z,0.007362633406017091,4.390883472099887e-05,0.0074065422407380895
tLQ7y9qWsuw,Insane Secrets in Spider-Man Miles Morales! #spiderman #gaming #shorts,20,Gaming,73,1.2166666666666666,807051,31232,71,2025-09-13T00:10:04Z,0.03869891741661927,8.797461374807788e-05,0.03878689203036735
Zs266R9yiek,Flood in Mad Granny house 🌊😱 | madgran game definition hindi madgran scary horror game funny video,20,Gaming,64,1.0666666666666667,2622108,21527,88,2025-08-19T07:01:07Z,0.008209806766159136,3.356078391889274e-05,0.008243367550078028
rJwEphsNVH8,"Shenseea - Hit & Run ft. Masicka, Di Genius",10,Music,189,3.15,158222907,871872,25099,2024-01-26T05:00:11Z,0.005510403117546058,0.0001586306336793572,0.005669033751225415
1onhvVnL8B8,Gajendra Verma - Mann Mera (Original Version) | Official HD Music Video,10,Music,227,3.783333333333333,25773449,295701,7370,2025-05-21T05:30:06Z,0.011473086120526593,0.0002859531915965147,0.011759039312123108
2mjx95RGtxQ,"Kehar Sing Limbu - Sarara Sarara Official Music Video ft.Nimesh Thapa, Losina Shakya | Kehar& Lunga",10,Music,266,4.433333333333334,22276799,168879,2931,2025-03-10T16:04:30Z,0.007580936560948456,0.00013157186541926422,0.00771250842636772
A5mURRozXtg,Don Toliver - No Pole [Official Music Video],10,Music,256,4.266666666666667,19196609,316074,3762,2025-03-03T18:00:12Z,0.016465095475977035,0.00019597211153282333,0.016661067587509855
TvVtYaqCni8,LE SSERAFIM (르세라핌) 'SPAGHETTI (feat. j-hope of BTS)' OFFICIAL MV,10,Music,199,3.316666666666667,45276400,1258380,66556,2025-10-24T03:58:08Z,0.027793287452182593,0.001469993197339011,0.029263280649521606
xGaZBfJOyAc,Lady Gaga - The Dead Dance (Official Music Video),10,Music,287,4.783333333333333,53365692,1140910,66522,2025-09-03T16:00:07Z,0.021379091270848694,0.0012465311983586758,0.02262562246920737
pSAtptOY7dI,Tibok - Earl Agustin (AshBin Version Music Video),10,Music,325,5.416666666666667,45261466,254715,18424,2025-04-09T13:00:07Z,0.005627634774357507,0.00040705707587995494,0.006034691850237463
KFMYx1TibeQ,Kehlani - Folded [Official Music Video],10,Music,246,4.1,42499969,318901,9841,2025-06-26T16:00:06Z,0.007503558414360255,0.00023155311007403323,0.007735111524434289
